"TABLA_PUENTE_LINEA_ID","TABLA_PUENTE_ID","ORIGEN_SERVICIO","DESTINO_SERVICIO","SERVICIO","CONCEPTO_MODALIDAD","FORMA_PAGO","CANTIDAD","NO_LINEA","LINEA_ARTICULO","UNIDAD_MEDIDA","REFERENCIA_APLICACION","SUBTOTAL","CODIGO_IVA","TASA_IVA","MONTO_IVA","CODIGO_RETENCION_IVA","TASA_RET_IVA","MONTO_RET_IVA","CODIGO_RETENCION_ISR","TASA_RET_ISR","MONTO_RET_ISR","TOTAL","CREATION_DATE","CREATED_BY","LAST_UPDATE_DATE","LAST_UPDATED_BY","LAST_UPDATE_LOGIN"
2418812,957667,"","","SERVICIO DE TURISMO TRANVIA CT1","","EFE",1,1,"BOLETOS DE AUTOBUS","","080821102CTP01TVCT1T",2551.89,"TAS-IVAAR16%",16,408.11,"",0,0,"",0,0,2960,09/08/21,1,09/08/21,1,
2418813,957667,"","","SERVICIO DE TURISMO TRANVIA CT1","","EFE",1,2,"BOLETOS DE AUTOBUS","","080821102CTP01TVCT1T",-206.91,"TAS-IVAAR16%",-16,-33.09,"",0,0,"",0,0,-240,09/08/21,1,09/08/21,1,
2418814,957668,"","","SERVICIO DE TURISMO CT","","BBV",1,2,"BOLETOS DE AUTOBUS","","080821277ERT04TCTT",4374,"TAS-IVAEXE",0,0,"",0,0,"",0,0,4374,09/08/21,1,09/08/21,1,
2418815,957669,"","","SERVICIO DE TURISMO CT","TERCEROS-ER","BBV",1,2,"BOLETOS DE AUTOBUS","","080821277ERT04TCTT",3770.7,"TAS-IVAAR16%",16,603.3,"",0,0,"",0,0,4374,09/08/21,1,09/08/21,1,
2418816,957670,"","","DIRECTO TTP TTP","PUNTO A BORDO","SOC",1,1,"BOLETOS DE AUTOBUS","","08082115ERT16BTPT",88,"TAS-IVAEXE",0,0,"",0,0,"",0,0,88,09/08/21,1,09/08/21,1,
2418817,957671,"","","DIRECTO TTP TTP","PUNTO A BORDO","SOC",1,1,"BOLETOS DE AUTOBUS","","08082115ERT16BTPT",75.86,"TAS-IVAAR16%",16,12.14,"",0,0,"",0,0,88,09/08/21,1,09/08/21,1,
2418818,957672,"","","INTERMEDIO PISTA","","BBV",1,1,"BOLETOS DE AUTOBUS","","08082117ERT04MTPT",138,"TAS-IVAEXE",0,0,"",0,0,"",0,0,138,09/08/21,1,09/08/21,1,
2418819,957673,"","","INTERMEDIO PISTA","TERCEROS-ER","BBV",1,1,"BOLETOS DE AUTOBUS","","08082117ERT04MTPT",118.95,"TAS-IVAAR16%",16,19.05,"",0,0,"",0,0,138,09/08/21,1,09/08/21,1,
2418820,957674,"","","INTERMEDIO PISTA","","EFE",1,1,"BOLETOS DE AUTOBUS","","08082117TPP01MTPT",-84.49,"TAS-IVAAR16%",-16,-13.51,"",0,0,"",0,0,-98,09/08/21,1,09/08/21,1,
2418821,957674,"","","INTERMEDIO PISTA","","EFE",1,2,"BOLETOS DE AUTOBUS","","08082117TPP01MTPT",8623.84,"TAS-IVAAR16%",16,1380.16,"",0,0,"",0,0,10004,09/08/21,1,09/08/21,1,
2418955,957782,"","","VENTAS MISCELANEAS","CARGO POR CAMBIO DE HORARIO","EFE",1,7,"BOLETOS DE AUTOBUS","","08082115ERP1MSERT",521.54,"TAS-IVAAR16%",16,83.46,"",0,0,"",0,0,605,09/08/21,1,09/08/21,1,
2418956,957782,"","","VENTAS MISCELANEAS","AUDIFONOS PRIMERA CLASE","EFE",1,8,"BOLETOS DE AUTOBUS","","08082115ERP1MSERT",1112.07,"TAS-IVAAR16%",16,177.93,"",0,0,"",0,0,1290,09/08/21,1,09/08/21,1,
2418957,957782,"","","VENTAS MISCELANEAS","KIT CRUZ ROJA","EFE",1,9,"BOLETOS DE AUTOBUS","","08082115ERP1MSERT",12.93,"TAS-IVAAR16%",16,2.07,"",0,0,"",0,0,15,09/08/21,1,09/08/21,1,
